Observation,latN,longW,depthmbsl,F1,F2,F3,F4,F5,F6,SetNo,Section
EN026 25D-2g,77.530,7.670,2925.000,2.115,-0.182,0.663,-0.110,-0.150,0.042,1.000,5.000
EN026 22D-1g,76.860,7.370,3450.000,1.977,0.133,0.647,0.112,-0.209,0.057,1.000,5.000
EN026 21D-1g,76.560,7.190,2810.000,2.600,-0.097,0.663,-0.087,-0.213,0.068,1.000,5.000
EN026 19D-1g,75.960,7.280,3258.000,1.862,0.316,0.632,0.238,-0.190,0.122,1.000,5.000
EN026 27D-1,75.520,7.500,2600.000,0.062,0.528,0.970,0.620,-0.121,-0.010,1.000,5.000
EN026 29D-1g,74.650,8.510,2878.000,2.449,-0.306,0.783,0.079,-0.125,0.065,1.000,5.000
EN026 30D-1g,74.190,8.840,3210.000,1.135,0.218,0.877,0.420,-0.367,0.002,1.000,5.000
EN026 31D-1g,73.740,8.370,3290.000,2.490,-0.446,0.943,0.127,-0.140,0.023,1.000,5.000
EN026 16D-2g,73.410,7.390,2623.000,3.048,-0.640,0.826,0.222,-0.237,-0.029,1.000,4.750
EN026 16D-1g,73.410,7.390,2623.000,2.800,-0.625,0.845,0.244,-0.518,-0.145,1.000,4.750
TR139 33D-2g,73.010,5.180,2900.000,1.313,-0.205,0.868,-0.081,-0.278,-0.002,1.000,4.750
EN026 14D-1g,72.810,4.260,2540.000,2.897,-0.891,0.993,0.085,-0.235,-0.034,1.000,4.750
TR139 32D-1g,72.610,3.380,3020.000,1.793,-0.246,1.004,0.018,-0.318,-0.008,1.000,4.750
EN026 12D-2g,72.320,1.480,2525.000,0.769,0.243,0.901,-0.229,-0.199,0.109,1.000,4.750
TR139 31D-2Ag,72.180,0.230,2462.000,2.461,-0.785,1.024,0.003,-0.340,-0.032,1.000,4.750
EN026 11D-1g,71.990,-0.650,2340.000,1.154,-0.086,1.042,-0.213,-0.374,-0.005,1.000,4.750
EN026 10D-1g,71.890,-1.390,2900.000,1.394,-0.386,1.039,-0.348,-0.300,0.007,1.000,4.750
EN026 10D-3g,71.890,-1.390,2900.000,1.393,-0.369,1.020,-0.348,-0.332,0.004,1.000,4.750
TR139 30D-1Ag,71.820,-2.080,2550.000,0.298,0.403,0.719,-0.516,-0.031,0.186,1.000,4.750
EN026 8D-1g,71.530,-3.940,2925.000,0.932,0.556,1.087,-0.055,-0.116,0.085,1.000,4.750
EN026 1D-1,71.480,-8.630,1675.000,-0.724,0.589,0.523,-0.720,0.344,0.257,1.000,4.750
EN026 7D-1g,71.430,-4.790,2488.000,0.326,0.678,0.831,-0.261,-0.184,0.095,1.000,4.750
EN026 7D-2,71.430,-4.790,2488.000,-1.139,0.370,0.510,-0.870,-0.026,0.085,1.000,4.750
END0026-002-001,71.412,-7.493,-890.000,-1.091,0.469,0.362,-0.938,0.186,0.179,2.000,4.750
EN026 2D-1,71.410,-7.490,890.000,-1.091,0.469,0.362,-0.938,0.186,0.179,1.000,4.750
EN026 6D-1,71.330,-5.430,1725.000,-0.028,0.688,0.820,-0.522,-0.144,0.118,1.000,4.750
TR139 27D-6g,71.330,-12.640,1205.000,-0.322,1.158,0.462,-0.510,-0.019,0.151,1.000,4.750
EN026 4D-3,71.260,-6.480,690.000,-0.878,0.426,0.558,-0.803,0.157,0.154,1.000,4.750
EN026 5D-1,71.240,-5.780,750.000,-0.609,0.795,0.873,-0.458,0.210,0.130,1.000,4.750
EN026 3D-2,71.190,-7.090,1100.000,-0.834,0.646,0.526,-0.685,0.241,0.205,1.000,4.750
AK1351-1C,71.060,-12.980,525.000,-0.390,1.348,0.300,0.029,0.085,0.159,1.000,4.750
AK1350-1B,70.660,-14.310,1200.000,2.390,-0.770,0.382,-0.081,0.463,-0.023,1.000,4.500
AK1349-1A,70.360,-15.420,925.000,1.299,-0.336,-0.125,-0.077,0.300,-0.138,1.000,4.500
TR139 23D-1g,69.730,-15.590,917.000,2.654,-0.838,0.225,-0.365,0.105,-0.045,1.000,4.500
TR139 24D-1g,69.730,-15.740,1038.000,2.858,-0.709,0.173,-0.250,0.304,0.042,1.000,4.500
TR139 25D-3g,69.150,-16.220,1145.000,2.876,-0.883,0.019,-0.036,0.043,0.011,1.000,4.500
TR139 21D-2g,68.630,-17.680,908.000,2.687,-0.865,0.102,-0.438,-0.102,0.022,1.000,4.500
TR139 19D-4g,68.410,-18.060,885.000,2.501,-0.376,0.091,-0.043,0.118,0.090,1.000,4.500
TR139 20D-1g,68.370,-17.990,650.000,2.551,-0.792,0.266,-0.250,-0.106,-0.053,1.000,4.500
TR139 18D-1g,68.170,-18.340,675.000,2.340,-0.423,-0.101,0.253,0.304,0.120,1.000,4.500
TR139 16D-1g,67.900,-18.410,565.000,2.711,-0.773,0.241,-0.289,-0.132,0.021,1.000,4.500
TR139 15D-1g,67.710,-18.540,402.000,2.632,-0.677,0.186,-0.138,-0.095,0.018,1.000,4.500
TR139 14D-1g,67.480,-18.630,390.000,2.524,-0.629,0.220,-0.188,-0.100,0.038,1.000,4.500
TR139 13D-1g,67.310,-18.660,250.000,2.390,-0.649,0.128,-0.172,-0.044,0.015,1.000,4.500
KOLB-1A,67.160,-18.670,0.000,2.395,-0.666,0.094,-0.057,0.197,0.098,1.000,4.500
TR139 10D-1,67.040,-18.480,74.000,2.151,-0.952,0.664,-0.044,0.217,0.022,1.000,4.500
TR139 11D-2,67.030,-18.430,95.000,2.435,-0.824,0.178,-0.235,-0.132,-0.027,1.000,4.500
TR139 6D-2g,67.010,-18.710,290.000,1.938,-0.683,0.214,-0.271,-0.143,0.060,1.000,4.500
TR139 7D-1g,66.910,-18.770,405.000,2.256,-0.718,0.334,-0.214,-0.013,0.070,1.000,4.500
TR139 8D-1,66.742,-18.010,345.000,2.064,-1.371,0.961,-0.092,0.314,-0.121,1.000,4.500
TR139 9D-2A,66.642,-17.780,195.000,1.881,-1.064,-0.029,-0.569,-0.145,-0.019,1.000,4.500
TR139 1D-1g,66.510,-17.340,72.000,2.065,-1.018,0.131,-0.194,0.252,0.016,1.000,4.500
